id,rated,turns,victory_status,winner
gzD3S9qf,TRUE,17,resign,white
aqIy0Ek9,TRUE,39,mate,white
F9LhXEvk,TRUE,94,resign,black
scqVJjj2,TRUE,37,resign,white
BoBZJpRS,TRUE,37,mate,white
5VAOl0rA,FALSE,34,resign,white
TMNMnaD7,FALSE,41,outoftime,white
ERl5w1Lb,FALSE,30,resign,black
XLvG0Fxw,TRUE,51,resign,white
kI6eU49k,TRUE,79,mate,white
wbR4KA2i,TRUE,83,resign,white
eTcONlGD,TRUE,14,resign,black
AFrSI2mE,TRUE,21,resign,white
Of7utwYA,TRUE,47,resign,white
MbJQrZqR,TRUE,38,resign,white
57CfXLeQ,TRUE,34,resign,black
6jtIjE2R,TRUE,39,resign,white
jsfpSHaf,TRUE,43,resign,white
CPDDgugd,TRUE,41,mate,white
RXnpG2TZ,TRUE,49,resign,white
FgNBqN3z,TRUE,38,outoftime,black
ploTbJ6s,TRUE,70,outoftime,black
hbxnJvqu,TRUE,48,resign,black
eZH6krXF,TRUE,50,resign,black
qKXrw2ki,TRUE,57,resign,white
FhfFRSoX,TRUE,148,outoftime,draw
EHmTVpmX,TRUE,62,mate,black
XUuJhAEP,TRUE,29,resign,white
1CEn79ih,TRUE,52,mate,black
EHODQ73d,TRUE,26,mate,black
Wt4pO0yV,TRUE,59,resign,black
37DIkyQP,TRUE,2,draw,draw
BThm18qK,TRUE,195,draw,draw
IgqWb3wU,TRUE,56,resign,black
TAdphcbm,TRUE,40,resign,black
63lPam9c,TRUE,31,mate,white
I400IkFs,TRUE,60,resign,black
Q9Bk2G35,TRUE,45,resign,white
irRJlNd6,TRUE,63,draw,draw
bubeMcp6,TRUE,17,resign,white
pxoOFfHH,TRUE,34,resign,white
Av8udV1F,TRUE,36,mate,black
RIrGfA5F,TRUE,62,mate,black
GlTzWj5E,TRUE,46,draw,draw
lFN4Gvv1,TRUE,34,resign,black
cJRIpA0K,TRUE,38,resign,white
4u0MUqHf,TRUE,107,resign,white
68pMrUFp,TRUE,42,resign,black
hz2R5AX6,TRUE,35,resign,white
ZbjPJQvo,TRUE,122,mate,black
rbcpm9pr,TRUE,71,mate,white
3fubUQ1L,TRUE,42,resign,black
QYc8zif6,TRUE,2,outoftime,black
afXDSWwS,TRUE,11,resign,white
kzO8xpo0,TRUE,54,resign,black
lfKoLKHr,TRUE,58,resign,white
DcNnJYPu,TRUE,42,resign,black
4ohxsOYi,TRUE,116,draw,draw
nBIWZ8Fi,TRUE,74,mate,black
IIlpa2I0,TRUE,54,mate,black
Fl7n8wyn,TRUE,85,resign,white
kATFCmb6,TRUE,38,resign,black
8BHaVwSf,TRUE,41,resign,white
JHs2yQVf,TRUE,121,mate,white
WOwzREnN,TRUE,30,resign,black
vCxVnALT,TRUE,64,resign,black
BAKj62Jt,TRUE,15,mate,white
IhPROx4l,TRUE,40,resign,black
FEAnKMLP,TRUE,128,draw,draw
wwF013vq,TRUE,48,resign,black
UVCNEXse,TRUE,51,mate,white
YeWcT5XP,TRUE,71,resign,black
mOQE6k1N,TRUE,60,resign,white
nIQ2d4S6,TRUE,58,mate,black
PRsV872Z,TRUE,60,resign,black
TQOTfC0X,TRUE,40,resign,white
XA0DImut,TRUE,29,outoftime,white
SBB7hpZn,TRUE,98,resign,black
9LBbJAy5,TRUE,71,resign,black
jkBe42CV,TRUE,135,draw,draw
Z9FnkzxR,TRUE,34,mate,black
rt1IFgnN,TRUE,60,mate,black
m6bOuo2a,TRUE,47,resign,black
d79KE45O,TRUE,23,resign,white
VzLpYJ1R,TRUE,78,mate,black
wLCl9YNn,TRUE,35,mate,white
RSsb4wYF,TRUE,53,resign,white
lm8AKQIn,TRUE,120,mate,black
uiJ5thnm,TRUE,41,mate,white
GHlw6n8z,TRUE,42,resign,black
yLhzi5Dd,TRUE,63,resign,white
brPQOL4Y,FALSE,23,resign,black
gH21a6oq,TRUE,32,resign,black
giix8ieL,FALSE,73,resign,white
Un8lFrlI,TRUE,90,resign,black
xNeUwMhV,TRUE,41,mate,white
ckyHRYkd,TRUE,43,resign,white
qRI4whmd,TRUE,38,resign,black
fE1B5wMl,TRUE,41,mate,white
pbX2HMso,TRUE,84,resign,black
TVcCQzD5,TRUE,56,resign,black
KYsVM4yI,TRUE,30,resign,black
e4kFuJQ9,FALSE,6,resign,white
5FPLsNja,TRUE,67,resign,white
uBwEbVAF,TRUE,56,resign,black
7sZ6ADlB,TRUE,103,resign,white
1iCdDMNl,TRUE,40,mate,black
8lPSOnVV,TRUE,52,resign,black
YQvHXNdq,TRUE,57,draw,draw
BHUzGb7V,TRUE,23,resign,white
W3fUpxff,TRUE,39,mate,white
eCQSU6WF,TRUE,52,resign,black
sOofcpg2,TRUE,41,resign,white
stoudusq,TRUE,33,resign,white
Q8AA3Qby,TRUE,58,resign,black
R9lE5mr6,TRUE,31,mate,white
KKoEd9W4,TRUE,15,resign,white
AFBQ040C,TRUE,32,resign,black
jRosMYvP,TRUE,45,resign,white
47I7Smmy,TRUE,25,resign,white
mjeeolDf,TRUE,15,resign,white
bn6tE2Gy,TRUE,62,resign,black
SQz0aocr,TRUE,59,resign,white
9bpYNzjf,TRUE,51,resign,white
faXIXTIb,TRUE,22,resign,black
BvcCXIJt,TRUE,27,resign,white
FH8TvLSY,TRUE,34,resign,black
99ONvKAR,TRUE,79,outoftime,white
ukTTpK9V,TRUE,73,resign,white
XwMJo8Hb,TRUE,74,mate,black
Wxgi9dv0,TRUE,92,resign,black
zijw7opz,TRUE,26,resign,black
5XspUzEQ,TRUE,40,mate,black
mF8Y8wMD,TRUE,77,resign,white
0iDlMyOe,TRUE,58,resign,black
S6w3WP4J,TRUE,51,mate,white
dMKJGAdC,TRUE,73,outoftime,white
XRepUkbo,TRUE,50,mate,black
8qrohlbN,TRUE,52,resign,black
YjfJDGGF,TRUE,11,mate,white
z3qhi0Bd,TRUE,61,resign,white
mN4q9WaV,TRUE,19,resign,white
o2qYkjN6,TRUE,51,resign,white
KCGLwr8V,TRUE,12,resign,black
x1WIDEZK,TRUE,86,draw,draw
snYK1vb6,TRUE,27,mate,white
tCGqQulN,TRUE,86,mate,black
d8WlBOrX,TRUE,61,mate,white
pWKk30rV,TRUE,53,mate,white
wQrRnpIt,TRUE,50,mate,black
qFF2fQKT,TRUE,16,resign,white
3hcX07ip,TRUE,110,outoftime,black
bg6UbBVr,TRUE,45,mate,white
qful43xo,TRUE,93,mate,white
tSsmRu5M,TRUE,105,resign,white
FdDUEr14,TRUE,60,resign,black
KNp9mDXB,TRUE,58,mate,black
SdKFE3PV,TRUE,65,mate,white
6eguvCWU,TRUE,56,mate,black
BLTfqEmu,TRUE,64,resign,black
x0M9UzvX,TRUE,4,resign,black
HDH18gtj,TRUE,58,resign,black
lHNSzBps,TRUE,34,resign,black
PyEpiSJp,FALSE,101,resign,white
yyxv1Rvw,FALSE,35,resign,black
15LAUrJ2,FALSE,54,resign,black
A7XDlKwD,FALSE,116,resign,black
ihRvX5OV,TRUE,115,mate,white
ZYvbvpag,TRUE,48,draw,draw
BnUS7DQe,TRUE,56,draw,draw
W8zaOGXs,TRUE,54,resign,black
TpxYFubZ,TRUE,37,resign,white
N7FMrhyD,TRUE,81,resign,white
leveeyFX,TRUE,45,resign,white
cRu3Kf1o,TRUE,161,mate,white
gShSMXDR,TRUE,88,resign,black
NYlPGBFO,TRUE,148,draw,draw
brC35BxF,TRUE,119,mate,white
fwGfUhX6,TRUE,60,resign,black
h0irlyP1,TRUE,34,mate,black
eliy5ecl,TRUE,94,resign,black
3sNZxnJZ,TRUE,122,mate,black
fFfNpkab,TRUE,44,resign,black
k8bpLGVX,TRUE,26,resign,black
inhWg7LE,TRUE,116,resign,black
s8b6pWX3,TRUE,31,resign,white
FGUuHBIN,TRUE,133,mate,white
FfPQwkyj,FALSE,65,resign,white
jTvyCsWT,FALSE,62,mate,black
qn5XNlhr,FALSE,62,resign,black
eJgE3AVx,FALSE,42,mate,black
YNQ5pxFn,FALSE,42,resign,black
WQTHwpKc,FALSE,158,draw,draw
ndZRhK6w,FALSE,31,resign,white
RkhniADk,FALSE,46,resign,black
y9jJdqti,FALSE,20,resign,black
yC4TNsVZ,FALSE,73,mate,white
sfAQRL4r,FALSE,35,mate,white
73yrL8pJ,FALSE,71,outoftime,white
TWpQfwRs,FALSE,46,resign,white
33CuQ7Wv,FALSE,52,resign,black
H8ZbC9Nb,TRUE,52,outoftime,black
c97bIIYV,TRUE,70,outoftime,black
nQNTkDIK,FALSE,49,resign,white
YcFsnSyR,TRUE,75,resign,white
3zUeArOl,TRUE,61,mate,white
YDr0Gbb8,FALSE,41,resign,white
bkePgHvV,FALSE,46,resign,black
1Rb8zwjl,FALSE,53,mate,white
zJiScU54,TRUE,52,mate,black
Z4SG1Ob7,TRUE,36,resign,black
8MfLGOXL,TRUE,64,resign,black
JAAIwQEV,TRUE,65,resign,white
DDTJ3Yeo,TRUE,71,resign,white
hn1NqGaN,TRUE,50,resign,black
33xKIuG7,TRUE,54,mate,black
tKZv5wGC,TRUE,76,mate,black
c2WR287x,TRUE,61,resign,white
MIapptBf,TRUE,53,resign,white
J2GvS4LK,TRUE,24,resign,black
Sfay2hYj,TRUE,64,mate,black
wytBeWQ0,TRUE,51,resign,white
Z0VzPUPm,TRUE,71,mate,white
1pBIszeA,FALSE,49,mate,white
CAEZnTSC,FALSE,34,mate,black
JT1xA30W,TRUE,88,outoftime,black
9UGcuRBe,TRUE,11,draw,draw
LSQ4yNeU,TRUE,11,mate,white
xSwSmC1e,TRUE,86,resign,black
TovD1oTY,TRUE,58,resign,black
u0FzSAO8,TRUE,50,resign,black
1YmgTIJI,TRUE,62,resign,black
DYpN9YxD,TRUE,39,resign,white
9ZsNhTh2,TRUE,49,resign,white
78hLyDK0,TRUE,43,resign,white
mquRdEhM,TRUE,84,mate,black
awUwx4yw,TRUE,41,resign,white
wXWF2VOU,TRUE,48,resign,black
AAiM3La2,TRUE,48,mate,black
FrYghAWU,TRUE,38,resign,black
2HUEMO77,TRUE,41,mate,white
ob8ByiQL,TRUE,28,resign,black
XDgrsvyY,TRUE,74,resign,black
drftECef,TRUE,29,resign,white
lLnTBNyP,TRUE,45,resign,white
q1qoMs5p,TRUE,61,mate,white
FicdeaYj,TRUE,19,resign,white
DrNPTV0R,TRUE,48,resign,black
h8sFveY6,TRUE,41,resign,white
YTPvqqDg,TRUE,30,resign,black
x3qqYZK7,TRUE,55,mate,white
TTXLxBqr,TRUE,72,resign,black
tz5RAeQT,TRUE,78,resign,black
M0iO8NeI,TRUE,34,resign,black
DuBCgvJa,TRUE,56,mate,black
4Sqxp7eu,TRUE,49,resign,white
zbVWQB0i,TRUE,72,mate,black
e0t2usED,TRUE,70,resign,white
